Frequency (Hz)	Level (dB)
26343.750000	-116.038795
26437.500000	-117.482697
26531.250000	-119.119087
26625.000000	-120.508965
26718.750000	-120.373444
26812.500000	-120.053879
26906.250000	-120.963448
27000.000000	-120.363747
27093.750000	-118.770638
27187.500000	-118.855972
27281.250000	-118.681572
27375.000000	-118.495277
27468.750000	-117.981239
27562.500000	-118.864944
27656.250000	-120.563911
27750.000000	-120.381218
27843.750000	-119.018463
27937.500000	-116.960907
28031.250000	-114.799454
28125.000000	-112.944481
28218.750000	-111.489449
28312.500000	-110.608353
28406.250000	-109.991882
28500.000000	-109.841232
28593.750000	-110.183479
28687.500000	-111.451050
28781.250000	-113.790390
28875.000000	-116.787651
28968.750000	-120.065010
29062.500000	-120.744560
29156.250000	-116.838043
29250.000000	-113.211823
29343.750000	-110.571167
29437.500000	-109.050064
29531.250000	-108.032921
29625.000000	-107.704109
29718.750000	-108.084061
29812.500000	-108.935471
29906.250000	-109.902145
30000.000000	-110.989777
30093.750000	-112.579651
30187.500000	-114.656090
30281.250000	-117.205826
30375.000000	-120.056381
30468.750000	-121.139992
30562.500000	-121.635330
30656.250000	-120.651863
30750.000000	-121.546768
30843.750000	-121.953445
30937.500000	-120.262665
31031.250000	-117.846489
31125.000000	-115.398636
31218.750000	-113.872215
31312.500000	-113.314819
31406.250000	-113.460838
31500.000000	-113.976639
31593.750000	-115.192276
31687.500000	-117.155113
31781.250000	-119.146202
31875.000000	-120.359756
31968.750000	-118.844917
32062.500000	-115.856003
32156.250000	-114.328140
32250.000000	-112.804543
32343.750000	-111.413017
32437.500000	-111.168739
32531.250000	-111.586990
32625.000000	-112.349594
32718.750000	-113.509407
32812.500000	-114.879448
32906.250000	-115.710091
33000.000000	-115.609024
33093.750000	-115.581161
33187.500000	-115.533112
33281.250000	-115.608147
33375.000000	-117.045334
33468.750000	-117.476799
33562.500000	-116.059364
33656.250000	-115.096283
33750.000000	-114.300232
33843.750000	-114.850212
33937.500000	-116.523392
34031.250000	-118.076187
34125.000000	-118.489357
34218.750000	-119.342224
34312.500000	-119.723297
34406.250000	-120.889824
34500.000000	-120.710747
34593.750000	-121.895981
34687.500000	-121.048607
34781.250000	-120.527191
34875.000000	-120.008507
34968.750000	-121.628929
35062.500000	-120.347878
35156.250000	-119.708939
35250.000000	-119.932243
35343.750000	-118.047211
35437.500000	-116.120842
35531.250000	-114.705788
35625.000000	-114.414795
35718.750000	-113.748489
35812.500000	-113.636223
35906.250000	-114.272453
36000.000000	-114.534935
36093.750000	-115.130844
36187.500000	-116.863571
36281.250000	-117.686287
36375.000000	-118.069267
